Шкаф	Обозначение провода	Откуда идет	Куда поступает
1HV32	A17-TQ14S17	XT44-b1	XT44-b2
1HV32	A17-TQ23S31	XT39-b1	XT39-b2
1HV32	A17-TQ30S09	XT42-b1	XT42-b2
1HV32	A17-TQ33S32	XT40-b1	XT40-b2
1HV32	A17-TQ40S05	XT25-b1	XT25-b2
1HV32	A17-TQ41S01	XT27-b1	XT27-b2
1HV32	A17-TQ41S02	XT28-b1	XT28-b2
1HV32	A17-TQ41S05	XT30-b1	XT30-b2
1HV32	A17-TQ51S01	XT35-b1	XT35-b2
1HV32	A17-TQ51S02	XT41-b1	XT41-b2
1HV32	A17-TQ51S03	XT46-b1	XT46-b2
1HV32	A17-TQ51S04	XT43-b1	XT43-b2
1HV32	A17-TX10S50	XT20-b1	XT20-b2
1HV32	A17-VF10S03	XT4-b1	XT4-b2
1HV32	A17-VF40S06	XT5-b1	XT5-b2
1HV32	A19-QF11S04	XT64-b4	XT64-b5
1HV32	A19-QF11S05	XT63-b4	XT63-b5
1HV32	A19-QF11S06	XT69-b4	XT69-b5
1HV32	A19-QF11S07	XT70-b4	XT70-b5
1HV32	A19-QF11S08	XT65-b4	XT65-b5
1HV32	A19-QF11S09	XT66-b4	XT66-b5
1HV32	A19-TQ10S01	XT6-b4	XT6-b5
1HV32	A19-TQ11S02	XT9-b4	XT9-b5
1HV32	A19-TQ11S03	XT7-b4	XT7-b5
1HV32	A19-TQ11S06	XT11-b4	XT11-b5
1HV32	A19-TQ11S09	XT10-b4	XT10-b5
1HV32	A19-TQ11S10	XT8-b4	XT8-b5
1HV32	A19-TQ11S11	XT32-b4	XT32-b5
1HV32	A19-TQ11S12	XT33-b4	XT33-b5
1HV32	A19-TQ11S14	XT31-b4	XT31-b5
1HV32	A19-TQ12S02	XT67-b4	XT67-b5
1HV32	A19-TQ12S03	XT68-b4	XT68-b5
1HV32	A19-TQ12S04	XT14-b4	XT14-b5
1HV32	A19-TQ12S05	XT16-b4	XT16-b5
1HV32	A19-TQ12S06	XT12-b4	XT12-b5
1HV32	A19-TQ12S07	XT15-b4	XT15-b5
1HV32	A19-TQ12S18	XT71-b4	XT71-b5
1HV32	A19-TQ13S05	XT17-b4	XT17-b5
1HV32	A19-TQ13S06	XT18-b4	XT18-b5
1HV32	A19-TQ13S07	XT19-b4	XT19-b5
1HV32	A19-TQ13S09	XT21-b4	XT21-b5
1HV32	A19-TQ13S26	XT37-b4	XT37-b5
1HV32	A19-TQ13S30	XT38-b4	XT38-b5
1HV32	A19-TQ14S03	XT23-b4	XT23-b5
