Откуда идет	Куда поступает
XM5-005.XT2:4	XM5-006.XT2:4
XM5-006.XT2:4	XM5-007.XT2:4
XM5-007.XT2:4	XM5-008.XT2:4
XM5-009.XT2:4	XM5-010.XT2:4
XM5-010.XT2:4	XM7-001.XT2:4
XM6-001.XT1:1	XL3-013.XT1:1
XM6-001.XT1:15	XM6-001.XT1:11
XM6-001.XT1:17	XL3-015.XT1:1
XM6-001.XT1:19	XM6-002.XT1:3
XM6-001.XT1:3	XM6-001.XT1:7
XM6-001.XT1:5	XL3-014.XT1:1
XM6-001.XT1:7	XM6-001.XT1:11
XM6-001.XT2:10	XM5-003.XT1:1
XM6-001.XT2:12	XM5-003.XT1:2
XM6-001.XT2:14	XM5-004.XT1:1
XM6-001.XT2:16	XM5-004.XT1:2
XM6-001.XT2:18	XM5-005.XT1:1
XM6-001.XT2:2	XM5-001.XT1:1
XM6-001.XT2:20	XM5-005.XT1:2
XM6-001.XT2:4	XM5-001.XT1:2
XM6-001.XT2:6	XM5-002.XT1:1
XM6-001.XT2:8	XM5-002.XT1:2
XM6-002.XT1:1	XL3-016.XT1:1
XM6-002.XT1:11	XM6-002.XT1:7
